id,name,system,fertility,gravity,plots,pressure,radius,temperature,type,no resources,incomplete,LOW grav,HIGH grav,LOW pres,HIGH pres,LOW temp,HIGH temp,tier,Grav,Pres,Temp,
BE-356a,BE-356a,BE-356,-1,0.63,421,5.77,7710,171,Rocky,false,false,false,false,false,true,false,true,4,NORMAL,HIGH,HIGH,false
BE-356b,BE-356b,BE-356,-1,0.35,275,0.02,2406,-121,Rocky,true,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
BE-356c,BE-356c,BE-356,-1,1.06,461,36.94,9139,-132,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-356d,BE-356d,BE-356,-1,0.84,834,48.88,18536,-186,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-356e,BE-356e,BE-356,-1,2.48,977,16.87,54440,-204,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-356f,BE-356f,BE-356,-1,1.94,1079,39.04,79981,-223,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-356g,BE-356g,BE-356,-1,1.23,935,24.42,43761,-217,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-706a,BE-706a,BE-706,-1,0.29,281,0.08,2653,-129,Rocky,true,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
BE-706b,BE-706b,BE-706,-1,0.98,462,10.09,9187,-45,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-706c,BE-706c,BE-706,-1,0.34,276,0,2463,-114,Rocky,true,false,false,false,true,false,true,false,3,NORMAL,LOW,LOW,false
BE-706d,BE-706d,BE-706,-1,0.83,459,6.68,9066,-200,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-706e,BE-706e,BE-706,-1,1.47,431,13.52,8049,-214,Rocky,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-706f,BE-706f,BE-706,-1,0.75,859,23.85,24783,-231,Gaseous,true,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
BE-706g,BE-706g,BE-706,-1,1.3,1035,25.81,68866,-240,Gaseous,false,false,false,false,false,true,true,false,3,NORMAL,HIGH,LOW,false
