Key,Material,Amount
FF-GIN,GRN,3
FF-GIN,DW,3
FF-GIN,ES,1
FF-WIN,DW,100
FF-WIN,GRA,50
FF-WIN,WAI,1
FF-ALE,GRN,2
FF-ALE,DW,3
FF-ALE,HOP,1
FF-KOM,DW,4
FF-KOM,HER,1
AML-ZR,ZIR,1
AML-BE,BER,1
AML-TA,TAI,1
AML-W,BTS,1
ORC-HOP,H2O,60
ORC-HOP,DDT,2
ORC-GRA,H2O,40
ORC-GRA,DDT,1
FRM-NUT,H2O,1
FRM-BEA-1,H2O,1
FRM-BEA-2,H2O,6
FRM-HCP,H2O,2
FRM-HER,H2O,4
FRM-HER,DDT,1
FRM-MAI,H2O,4
FRM-GRN-1,H2O,4
FRM-GRN-2,H2O,1
FRM-RCO-1,H2O,2
FRM-RCO-2,H2O,2
FRM-RCO-2,NS,4
FRM-VEG,H2O,3
IVP-MTP,PPA,1
IVP-MTP,NS,1
IVP-MTP,HCP,1
IVP-VG,LIS,1
IVP-RSI,H2O,16
IVP-RSI,HCP,1
IVP-RSI,NS,1
BMP-PE,C,1
BMP-PE,H,2
BMP-OVE-1,PE,100
BMP-OVE-1,PG,25
BMP-OVE-2,RCO,1
BMP-OVE-2,PE,50
BMP-OVE-3,COT,1
BMP-OVE-3,PG,10
BMP-PT,STL,1
BMP-MCG,LST,4
BMP-MCG,SIO,2
BMP-PWO,COT,1
BMP-PWO,PG,50
BMP-I,CLI,3
BMP-REP,MFK,1
BMP-REP,SFK,1
BMP-REP,INF,8
BMP-SEA,S,1
BMP-SEA,SI,1
BMP-SEA,PG,30
BMP-EXO,OVE,10
BMP-EXO,AL,1
PPF-PSS,PG,10
PPF-PSM,PG,20
PPF-DCL,PSL,2
PPF-DCL,MFK,2
PPF-DCL,PG,40
PPF-PSL,PG,40
PPF-DCM,PSM,2
PPF-DCM,SFK,8
PPF-DCM,PG,20
PPF-DCS,SFK,4
PPF-DCS,PG,10
PPF-DCS,PSS,1
ELP-SAR,SEN,16
ELP-SAR,PCB,4
ELP-AWF,MAG,1
ELP-AWF,BAC,10
ELP-AWF,PE,10
ELP-HPC,MB,1
ELP-HPC,DCS,1
ELP-HPC,CD,1
ELP-CD,DIS,1
ELP-CD,FE,1
ELP-CD,PE,25
ELP-BMF,TPU,1
